"1994-12-14","1996-06-10",6,"Nehru Cup"
"1994-12-14","1996-06-10",6,"United Arab Emirates Friendship Tournament"
"1994-12-14","1996-06-10",6,"Malta International Tournament"
"1994-12-14","1996-06-10",6,"Windward Islands Tournament"
"1994-12-14","1996-06-10",6,"Simba Tournament"
"1994-12-14","1996-06-10",6,"Kirin Cup"
"1994-12-14","1996-06-10",5,"Korea Cup"
"1994-12-14","1996-06-10",4,"Oceania Nations Cup"
"1994-12-14","1996-06-10",4,"Lunar New Year Cup"
"1994-12-14","1996-06-10",3,"King's Cup"
"1994-12-14","1996-06-10",3,"Baltic Cup"
"1994-12-14","1996-06-10",2,"Copa Paz del Chaco"
"1994-12-14","1996-06-10",1,"Merdeka Tournament"
"1996-06-10","1997-06-29",410,"FIFA World Cup qualification"
"1996-06-10","1997-06-29",267,"Friendly"
"1996-06-10","1997-06-29",48,"African Cup of Nations qualification"
"1996-06-10","1997-06-29",39,"AFC Asian Cup qualification"
"1996-06-10","1997-06-29",26,"AFC Asian Cup"
"1996-06-10","1997-06-29",26,"Copa América"
"1996-06-10","1997-06-29",25,"UEFA Euro"
"1996-06-10","1997-06-29",24,"AFF Championship"
"1996-06-10","1997-06-29",19,"CFU Caribbean Cup qualification"
"1996-06-10","1997-06-29",15,"Gulf Cup"
"1996-06-10","1997-06-29",15,"Dunhill Cup"
"1996-06-10","1997-06-29",14,"UNCAF Cup"
"1996-06-10","1997-06-29",7,"Nehru Cup"
"1996-06-10","1997-06-29",7,"CECAFA Cup"
"1996-06-10","1997-06-29",7,"USA Cup"
"1996-06-10","1997-06-29",6,"Tournoi de France"
"1996-06-10","1997-06-29",6,"Korea Cup"
"1996-06-10","1997-06-29",6,"Simba Tournament"
"1996-06-10","1997-06-29",6,"Cyprus International Tournament"
"1996-06-10","1997-06-29",5,"COSAFA Cup"
"1996-06-10","1997-06-29",4,"COSAFA Cup qualification"
"1996-06-10","1997-06-29",4,"King Hassan II Tournament"
"1996-06-10","1997-06-29",4,"King's Cup"
"1996-06-10","1997-06-29",3,"Kirin Cup"
"1996-06-10","1997-06-29",3,"Baltic Cup"
"1996-06-10","1997-06-29",2,"Oceania Nations Cup"
"1996-06-10","1997-06-29",2,"Lunar New Year Cup"
"1997-06-29","1998-10-19",10,"SAFF Cup"
"1997-06-29","1998-10-19",10,"Oceania Nations Cup"
"1997-06-29","1998-10-19",10,"Arab Cup"
"1997-06-29","1998-10-19",6,"Dynasty Cup"
"1997-06-29","1998-10-19",6,"Malta International Tournament"
"1997-06-29","1998-10-19",6,"Cyprus International Tournament"
"1997-06-29","1998-10-19",6,"Arab Cup qualification"
"1997-06-29","1998-10-19",6,"Baltic Cup"
"1997-06-29","1998-10-19",5,"COSAFA Cup qualification"
"1997-06-29","1998-10-19",4,"King Hassan II Tournament"
"1997-06-29","1998-10-19",4,"King's Cup"
"1997-06-29","1998-10-19",3,"United Arab Emirates Friendship Tournament"
"1997-06-29","1998-10-19",3,"Kirin Cup"
"1997-06-29","1998-10-19",2,"Lunar New Year Cup"
"1997-06-29","1998-10-19",1,"SKN Football Festival"
"1997-06-29","1998-10-19",1,"Gold Cup qualification"
"1997-06-29","1998-10-19",345,"Friendly"
"1997-06-29","1998-10-19",176,"FIFA World Cup qualification"
"1997-06-29","1998-10-19",66,"UEFA Euro qualification"
"1997-06-29","1998-10-19",64,"FIFA World Cup"
"1997-06-29","1998-10-19",58,"African Cup of Nations qualification"
"1997-06-29","1998-10-19",32,"African Cup of Nations"
"1997-06-29","1998-10-19",26,"CFU Caribbean Cup"
"1997-06-29","1998-10-19",25,"CFU Caribbean Cup qualification"
"1997-06-29","1998-10-19",22,"AFF Championship"
"1997-06-29","1998-10-19",20,"Island Games"
"1997-06-29","1998-10-19",20,"Oceania Nations Cup qualification"
"1997-06-29","1998-10-19",16,"Confederations Cup"
"1997-06-29","1998-10-19",16,"Amílcar Cabral Cup"
"1997-06-29","1998-10-19",16,"Gold Cup"
"1997-06-29","1998-10-19",15,"COSAFA Cup"
"1998-10-19","2000-03-05",12,"CFU Caribbean Cup"
"1998-10-19","2000-03-05",12,"UNCAF Cup"
"1998-10-19","2000-03-05",10,"SAFF Cup"
"1998-10-19","2000-03-05",9,"United Arab Emirates Friendship Tournament"
"1998-10-19","2000-03-05",8,"FIFA World Cup qualification"
"1998-10-19","2000-03-05",8,"COSAFA Cup"
"1998-10-19","2000-03-05",6,"COSAFA Cup qualification"
"1998-10-19","2000-03-05",6,"Malta International Tournament"
"1998-10-19","2000-03-05",6,"Korea Cup"
"1998-10-19","2000-03-05",6,"Gold Cup qualification"
"1998-10-19","2000-03-05",6,"King's Cup"
"1998-10-19","2000-03-05",5,"Nordic Championship"
"1998-10-19","2000-03-05",4,"Lunar New Year Cup"
"1998-10-19","2000-03-05",4,"USA Cup"
"1998-10-19","2000-03-05",3,"Kirin Cup"
"1998-10-19","2000-03-05",1,"Copa Paz del Chaco"
"1998-10-19","2000-03-05",415,"Friendly"
"1998-10-19","2000-03-05",162,"UEFA Euro qualification"
"1998-10-19","2000-03-05",59,"African Cup of Nations qualification"
"1998-10-19","2000-03-05",44,"AFC Asian Cup qualification"
"1998-10-19","2000-03-05",34,"CFU Caribbean Cup qualification"
"1998-10-19","2000-03-05",32,"African Cup of Nations"
"1998-10-19","2000-03-05",31,"Island Games"
"1998-10-19","2000-03-05",26,"Copa América"
"1998-10-19","2000-03-05",19,"Gold Cup"
"1998-10-19","2000-03-05",16,"Confederations Cup"
"1998-10-19","2000-03-05",15,"Gulf Cup"
